#Meta infos
10,5
#Processing times
5,3,11,4,41,2,68,5,71,1,41
5,2,16,4,11,3,61,5,70,1,76
4,4,61,3,38,2,59,5,18
4,3,99,1,66,4,71,5,14
4,1,73,2,78,5,65,3,63
2,2,63,5,48
3,3,40,1,68,5,97
4,1,64,4,84,2,69,5,84
1,5,92
5,1,60,2,34,3,75,4,51,5,97
#Setup times
0,40,25,33,18,8,28,12,32,35
30,0,27,37,7,32,18,40,9,33
22,40,0,25,34,12,6,18,34,39
32,31,7,0,38,9,9,40,15,15
27,26,13,20,0,6,33,6,7,39
30,9,38,12,27,0,18,12,25,8
37,11,30,16,16,20,0,40,17,8
38,23,37,35,17,14,10,0,30,17
31,5,24,6,29,12,9,14,0,30
23,33,38,35,15,10,31,29,25,0
