#Meta infos
10,5
#Processing times
2,3,64,5,59
1,5,79
3,3,92,1,83,5,31
4,5,21,3,98,4,55,1,94
3,3,19,4,30,2,23
5,5,27,3,66,2,49,4,94,1,18
2,4,74,3,61
5,2,12,1,55,4,96,5,100,3,97
3,2,16,4,56,5,43
5,5,87,4,56,1,13,3,24,2,36
#Setup times
0,16,13,23,21,5,12,36,11,23
27,0,39,25,14,36,9,20,22,17
38,5,0,27,16,34,21,21,29,32
29,19,13,0,18,36,25,10,8,20
6,39,13,5,0,22,23,28,14,40
35,25,22,25,18,0,20,40,27,18
25,38,16,39,32,11,0,29,15,13
25,6,34,37,23,19,7,0,16,27
14,13,22,39,39,15,36,20,0,36
19,38,13,25,11,37,40,33,12,0
